idx,month,day,old,new,poem,Prov,link
156,06,05,삼하23:24-24:25,행3:1-26,시123:1-4,잠16:21-23,https://www.youtube.com/watch?v=O_idahelFZA
157,06,06,왕상1:1-53,행4:1-37,시124:1-8,잠16:24,https://www.youtube.com/watch?v=50n9L71Vqyw
158,06,07,왕상2:1-3:3,행5:1-42,시125:1-5,잠16:25,https://www.youtube.com/watch?v=K2WcXsfrbr4
159,06,08,왕상3:4-4:34,행6:1-15,시126:1-6,잠16:26-27,https://www.youtube.com/watch?v=T4zlIyFkb7Q
160,06,09,왕상5:1-6:38,행7:1-29,시127:1-5,잠16:28-30,https://www.youtube.com/watch?v=iLFznd14dYE
161,06,10,왕상7:1-51,행7:30-50,시128:1-6,잠16:31-33,https://www.youtube.com/watch?v=NRN_8dCOLyc
162,06,11,왕상8:1-66,행7:51-8:13,시129:1-8,잠17:1,https://www.youtube.com/watch?v=qZCXwvKreUo
163,06,12,왕상9:1-10:29,행8:14-40,시130:1-8,잠17:2-3,https://www.youtube.com/watch?v=kjLeBQbs_Vo
164,06,13,왕상11:1-12:19,행9:1-25,시131:1-3,잠17:4-5,https://www.youtube.com/watch?v=pK_BI68nmrw
165,06,14,왕상12:20-13:34,행9:26-43,시132:1-18,잠17:6,https://www.youtube.com/watch?v=Aa6I50dH3qc
166,06,15,왕상14:1-15:24,행10:1-23상,시133:1-3,잠17:7-8,https://www.youtube.com/watch?v=VgL1gkExbaY
167,06,16,왕상15:25-17:24,행10:23하-48,시134:1-3,잠17:9-11,https://www.youtube.com/watch?v=jJ6x91Ukqks
168,06,17,왕상18:1-46,행11:1-30,시135:1-21,잠17:12-13,https://www.youtube.com/watch?v=OrDD2-ejrIw
169,06,18,왕상19:1-21,행12:1-23,시136:1-26,잠17:14-15,https://www.youtube.com/watch?v=qAcrS8UlXnA
170,06,19,왕상20:1-21:29,행12:24-13:15,시137:1-9,잠17:16,https://www.youtube.com/watch?v=5DtufStjuo0
171,06,20,왕상22:1-53,행13:16-41,시138:1-8,잠17:17-18,https://www.youtube.com/watch?v=fa2NNGfIT6s
172,06,21,왕하1:1-2:25,행13:42-14:7,시139:1-24,잠17:19-21,https://www.youtube.com/watch?v=__C1Qs5tUF4
173,06,22,왕하3:1-4:17,행14:8-28,시140:1-13,잠17:22,https://www.youtube.com/watch?v=4lHY7LAKLcI
174,06,23,왕하4:18-5:27,행15:1-35,시141:1-10,잠17:23,https://www.youtube.com/watch?v=DbLesCEpUy8
175,06,24,왕하6:1-7:20,행15:36-16:15,시142:1-7,잠17:24-25,https://www.youtube.com/watch?v=NlJL0XXIkH4
176,06,25,왕하8:1-9:13,행16:16-40,시143:1-12,잠17:26,https://www.youtube.com/watch?v=k_ZJn2IKaOY
177,06,26,왕하9:14-10:31,행17:1-34,시144:1-15,잠17:27-28,https://www.youtube.com/watch?v=JpvQs0Smc88
178,06,27,왕하10:32-12:21,행18:1-22,시145:1-21,잠18:1,https://www.youtube.com/watch?v=hp0c36Phh3M
179,06,28,왕하13:1-14:29,행18:23-19:12,시146:1-10,잠18:2-3,https://www.youtube.com/watch?v=MpcYKKOqNmQ
180,06,29,왕하15:1-16:20,행19:13-41,시147:1-20,잠18:4-5,https://www.youtube.com/watch?v=KAAX9Lbcm2E
181,06,30,왕하17:1-18:12,행20:1-38,시148:1-14,잠18:6-7,https://www.youtube.com/watch?v=3AJ1xmonPkw
182,07,01,왕하18:13-19:37,행21:1-16,시149:1-9,잠18:8,https://www.youtube.com/watch?v=YRuH9tso5mU
183,07,02,왕하20:1-22:2,행21:17-36,시150:1-6,잠18:9-10,https://www.youtube.com/watch?v=WEi6KyYTHGw
